Order,ID,Species,Sex
1,Hsapiens_F_NMDID-104889_cad,Hsapiens,Fe
2,Hsapiens_F_NMDID-176087_cad,Hsapiens,Fe
3,Hsapiens_F_NMDID-178609_cad,Hsapiens,Fe
4,Hsapiens_F_NMDID-104393_cad,Hsapiens,Fe
5,Hsapiens_F_NMDID-108966_cad,Hsapiens,Fe
6,Hsapiens_F_NMDID-158596_cad,Hsapiens,Fe
7,Hsapiens_F_KUA-2677_rea,Hsapiens,Fe
8,Hsapiens_F_KUA-2941_rea,Hsapiens,Fe
9,Hsapiens_F_NHMW-Ant-694_rea,Hsapiens,Fe
10,Hsapiens_F_NHMW-Ant-C2-90-2_rea,Hsapiens,Fe
11,Ptroglodytes_F_Koko(GAIN140)_cad,Ptroglodytes,Fe
12,Ptroglodytes_F_Yuri(GAIN74)_cad,Ptroglodytes,Fe
13,Ptroglodytes_F_Sakura(GAIN64)_cad,Ptroglodytes,Fe
14,Ptroglodytes_F_PRICT611_cad,Ptroglodytes,Fe
15,Ptroglodytes_F_PRI10048_cad,Ptroglodytes,Fe
16,Ptroglodytes_F_PRI11043-Puchi_cad,Ptroglodytes,Fe
17,Ptroglodytes_F_PCM-M204_rea,Ptroglodytes,Fe
18,Ptroglodytes_F_NH-MER32-986_rea,Ptroglodytes,Fe
19,Ptroglodytes_F_NH-MER33-742_rea,Ptroglodytes,Fe
20,Ggorilla_F_NH-MER35-58_rea,Ggorilla,Fe
21,Ggorilla_F_NH-MER35-89_rea,Ggorilla,Fe
22,Ggorilla_F_NH-MER35-95_rea,Ggorilla,Fe
23,Ppygmaeus_F_MNHN-ZM-AC-1965-241_rea,Ppygmaeus,Fe
24,Ppygmaeus_F_NHM-ZD-1986-1103_rea,Ppygmaeus,Fe
25,Ppygmaeus_F_NHM-1948-7-6-1_rea,Ppygmaeus,Fe
26,Ppygmaeus_F_Satsuki(GAIN37)_con,Ppygmaeus,Fe
27,Hlar_F_PRILady_cad,Hlar,Fe
28,Hlar_F_PRI7863_cad,Hlar,Fe
29,Hlar_F_PRI12634-Yama(GAIN0094)_cad,Hlar,Fe
30,Hlar_F_PRI9265_Tomiko(GAIN89)_cad,Hlar,Fe
31,Hlar_F_BE-RBINS-VER-MAM-17689_con,Hlar,Fe
32,Hlar_F_RBINS-34583_rea,Hlar,Fe
33,Hlar_F_MNH-26913_rea,Hlar,Fe
34,Hlar_F_MNH-46350_rea,Hlar,Fe
35,Ssyndactylus_F_MNH-2013a_rea,Ssyndactylus,Fe
36,Ssyndactylus_F_PRI7992_Study2937_cad,Ssyndactylus,Fe
37,Ssyndactylus_F_usnm-mammals-143579_con,Ssyndactylus,Fe
38,Ssyndactylus_F_ZMB-MAM-38587_rea,Ssyndactylus,Fe
39,Cguereza_F_ZD-1972-138_rea,Cguereza,Fe
40,Cguereza_F_PCM-M277_rea,Cguereza,Fe
41,Cguereza_F_PCM-MER-35-66_rea,Cguereza,Fe
42,Cguereza_F_PRI-8411_con,Cguereza,Fe
43,Panubis_F_BE-RBINS-VER-MAM-18294_con,Panubis,Fe
44,Panubis_F_MNHN-ZM-AC-1934-616_con,Panubis,Fe
45,Panubis_F_NHM-1-8-9-23_rea,Panubis,Fe
46,Panubis_F_NHM-1962-12-14-6_rea ,Panubis,Fe
47,Phamadryas_F_PRI7785_cad,Phamadryas,Fe
48,Phamadryas_F_PRI7868_cad,Phamadryas,Fe
49,Phamadryas_F_NHMW-32991_rea,Phamadryas,Fe
50,Tgelada_F_RBINS-8920_con,Tgelada,Fe
51,Tgelada_F_PRI7816_cad,Tgelada,Fe
52,Tgelada_F_PRI7964_cad,Tgelada,Fe
53,Tgelada_F_1934-252_rea,Tgelada,Fe
54,Msphinx_F_AMNH-89357_rea,Msphinx,Fe
55,Msphinx_F_AMNH-89358_rea,Msphinx,Fe
56,Msphinx_F_NHMW-Zoo1-MAMM-57601_rea,Msphinx,Fe
57,Msphinx_F_MNHN_ZM_1880-1307_con,Msphinx,Fe
58,Mmulatta_F_(ucd-39481)_cad,Mmulatta,Fe
